Date,Time,Scrip Name,Scrip Type,Quantity,Price,Value
20-10-2025,10:18:11,NIFTY 20 OCT 2025 PE 25900.00,BUY,300,90.5,27150
20-10-2025,10:19:44,NIFTY 20 OCT 2025 CE 25800.00,BUY,300,88.25,26475
20-10-2025,10:19:46,NIFTY 20 OCT 2025 PE 25900.00,SELL,300,92.1,27630
20-10-2025,10:20:36,NIFTY 20 OCT 2025 PE 25900.00,BUY,300,91.1,27330
20-10-2025,10:21:07,NIFTY 20 OCT 2025 CE 25800.00,SELL,300,85.25,25575
20-10-2025,10:21:59,NIFTY 20 OCT 2025 CE 25800.00,BUY,300,87.2,26160
20-10-2025,10:22:04,NIFTY 20 OCT 2025 PE 25900.00,SELL,300,88.6,26580
20-10-2025,10:22:19,NIFTY 20 OCT 2025 PE 25900.00,BUY,300,93.95,28185
20-10-2025,10:22:44,NIFTY 20 OCT 2025 PE 25900.00,SELL,300,87.9,26370
20-10-2025,10:23:03,NIFTY 20 OCT 2025 PE 25900.00,BUY,300,93.45,28035
20-10-2025,10:24:13,NIFTY 20 OCT 2025 PE 25900.00,SELL,300,86.6,25980
20-10-2025,10:26:37,NIFTY 20 OCT 2025 CE 25800.00,SELL,300,96.9,29070
20-10-2025,10:26:40,NIFTY 20 OCT 2025 CE 25800.00,BUY,300,98.25,29475
20-10-2025,10:26:43,NIFTY 20 OCT 2025 CE 25800.00,SELL,300,96.8,29040
20-10-2025,10:26:47,NIFTY 20 OCT 2025 CE 25800.00,BUY,300,98,29400
20-10-2025,10:26:50,NIFTY 20 OCT 2025 CE 25800.00,SELL,300,97.1,29130
20-10-2025,10:27:28,NIFTY 20 OCT 2025 PE 25900.00,BUY,300,80.65,24195
20-10-2025,10:29:08,NIFTY 20 OCT 2025 PE 25900.00,SELL,300,93.5,28050
20-10-2025,10:31:12,NIFTY 20 OCT 2025 CE 25800.00,BUY,300,76.5,22950
20-10-2025,10:31:21,NIFTY 20 OCT 2025 PE 25900.00,BUY,300,100.95,30285
20-10-2025,10:31:41,NIFTY 20 OCT 2025 PE 25900.00,SELL,300,99.5,29850
20-10-2025,10:31:43,NIFTY 20 OCT 2025 PE 25900.00,BUY,300,100.75,30225
20-10-2025,10:31:49,NIFTY 20 OCT 2025 PE 25900.00,SELL,300,98.3,29490
20-10-2025,10:32:03,NIFTY 20 OCT 2025 PE 25900.00,BUY,300,100,30000
20-10-2025,10:32:12,NIFTY 20 OCT 2025 PE 25900.00,SELL,300,95.5,28650
20-10-2025,10:33:14,NIFTY 20 OCT 2025 PE 25900.00,BUY,300,94.3,28290
20-10-2025,10:33:19,NIFTY 20 OCT 2025 CE 25800.00,SELL,300,79.6,23880
20-10-2025,10:33:26,NIFTY 20 OCT 2025 CE 25800.00,BUY,300,80.75,24225
20-10-2025,10:34:07,NIFTY 20 OCT 2025 CE 25800.00,SELL,300,78.9,23670
20-10-2025,10:34:18,NIFTY 20 OCT 2025 CE 25800.00,BUY,300,79.9,23970
20-10-2025,10:34:39,NIFTY 20 OCT 2025 CE 25800.00,SELL,300,80.85,24255
20-10-2025,10:34:41,NIFTY 20 OCT 2025 CE 25800.00,BUY,300,81.15,24345
20-10-2025,10:34:42,NIFTY 20 OCT 2025 PE 25900.00,SELL,300,91.05,27315
20-10-2025,10:34:45,NIFTY 20 OCT 2025 CE 25800.00,SELL,300,81.7,24510
20-10-2025,10:34:47,NIFTY 20 OCT 2025 CE 25800.00,BUY,300,82.6,24780
20-10-2025,10:34:50,NIFTY 20 OCT 2025 CE 25800.00,SELL,300,83.75,25125
